"Disclaimer: This file contains trip information collected to produce the Safety Score. Each record represents a trip. Trips on service mode or less than 0.1 miles in length are excluded as they are not included in the Safety Score calculation."
"For more information about the Safety Score please refer to the support page: https://www.tesla.com/support/safety-score"


Start time of trip (UTC),End time of trip (UTC),Miles driven on the trip,Miles driven on the trip while not using Autopilot,Seconds following with 1 second excluding Autopilot driving,Seconds following within 3 seconds excluding Autopilot driving,Unsafe following percent,Seconds experiencing longitudinal acceleration less than of -0.3g excluding Autopilot driving,Seconds experiencing longitudinal acceleration less than of -0.1g excluding Autopilot driving,Hard braking percent,Seconds experiencing lateral acceleration greater than 0.4g or less than -0.4g excluding Autopilot driving,Seconds experiencing lateral acceleration greater than 0.2g or less than -0.2g excluding Autopilot driving,Aggressive turning percent (AggressiveTurningNumerator / AggressiveTurningDenominator),Count of Forward Collision Warnings on the trip excluding warnings occurring while driving on Autopilot,Count of Forced Autopilot Disengagements on the trip
"=""2023-07-27 23:36:54.519""","=""2023-07-28 00:22:12.649""",22.73,17.20,71001.00,297001.00,0.24,10000.00,312004.00,0.03,0.00,39000.00,0.00,1.00,0.00
"=""2023-07-28 00:22:54.647""","=""2023-07-28 00:34:01.979""",2.30,2.30,0.00,0.00,0.00,6000.00,77002.00,0.08,0.00,2000.00,0.00,1.00,0.00
"=""2023-07-28 03:43:35.777""","=""2023-07-28 03:54:01.352""",1.83,1.83,0.00,0.00,0.00,0.00,43999.00,0.00,0.00,1000.00,0.00,0.00,0.00
"=""2023-07-28 04:01:57.677""","=""2023-07-28 04:27:23.333""",1.47,1.47,0.00,0.00,0.00,0.00,30000.00,0.00,0.00,0.00,0.00,0.00,0.00
"=""2023-07-28 05:23:52.526""","=""2023-07-28 05:38:00.194""",1.58,1.58,0.00,0.00,0.00,1000.00,67000.00,0.01,0.00,3000.00,0.00,0.00,0.00
"=""2023-07-28 08:10:19.091""","=""2023-07-28 09:00:13.933""",24.45,23.23,14000.00,69000.00,0.20,3000.00,149001.00,0.02,0.00,9000.00,0.00,0.00,0.00
"=""2023-07-28 10:01:23.600""","=""2023-07-28 10:55:26.028""",20.12,12.60,12000.00,75000.00,0.16,0.00,64000.00,0.00,0.00,2000.00,0.00,0.00,0.00
"=""2023-07-28 10:56:46.230""","=""2023-07-28 11:34:44.567""",11.24,6.81,0.00,0.00,0.00,0.00,89001.00,0.00,0.00,2000.00,0.00,0.00,0.00
"=""2023-07-28 11:46:03.844""","=""2023-07-28 12:55:29.239""",30.42,30.22,34000.00,333001.00,0.10,0.00,110002.00,0.00,0.00,25001.00,0.00,0.00,0.00
"=""2023-07-28 12:56:21.391""","=""2023-07-28 13:14:16.327""",12.37,12.31,0.00,18000.00,0.00,4000.00,111001.00,0.04,7000.00,241002.00,0.03,0.00,0.00
"=""2023-07-29 01:31:42.062""","=""2023-07-29 03:06:50.602""",92.70,68.16,306002.00,1789002.00,0.17,3000.00,525001.00,0.01,1000.00,137000.00,0.01,0.00,0.00
"=""2023-07-29 04:27:37.833""","=""2023-07-29 04:52:22.946""",0.25,0.25,0.00,0.00,0.00,0.00,5000.00,0.00,0.00,0.00,0.00,0.00,0.00
"=""2023-07-29 05:06:47.680""","=""2023-07-29 05:14:44.190""",2.70,2.70,9000.00,34000.00,0.26,0.00,65000.00,0.00,0.00,24000.00,0.00,0.00,0.00
"=""2023-07-29 07:06:25.997""","=""2023-07-29 07:39:39.774""",0.88,0.88,0.00,0.00,0.00,0.00,32000.00,0.00,0.00,4000.00,0.00,0.00,0.00
"=""2023-07-29 09:34:51.708""","=""2023-07-29 09:59:46.216""",2.50,2.50,0.00,0.00,0.00,0.00,58000.00,0.00,0.00,0.00,0.00,0.00,0.00
"=""2023-07-29 10:44:46.107""","=""2023-07-29 11:04:44.301""",0.43,0.43,0.00,0.00,0.00,0.00,17000.00,0.00,0.00,0.00,0.00,0.00,0.00
"=""2023-07-29 21:43:14.694""","=""2023-07-29 22:35:04.784""",3.59,3.59,0.00,0.00,0.00,8000.00,114000.00,0.07,0.00,8000.00,0.00,0.00,0.00
