Disclaimer: This file contains trip information collected to produce the Safety Score. Each record represents a trip. Trips on service mode or less than 0.1 miles in length are excluded as they are not included in the Safety Score calculation.,,,,,,,,,,,,,,
For more information about the Safety Score please refer to the support page: https://www.tesla.com/support/safety-score,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Start time of trip (UTC),End time of trip (UTC),Miles driven on the trip,Miles driven on the trip while not using Autopilot,Seconds following with 1 second excluding Autopilot driving,Seconds following within 3 seconds excluding Autopilot driving,Unsafe following percent,Seconds experiencing longitudinal acceleration less than of -0.3g excluding Autopilot driving,Seconds experiencing longitudinal acceleration less than of -0.1g excluding Autopilot driving,Hard braking percent,Seconds experiencing lateral acceleration greater than 0.4g or less than -0.4g excluding Autopilot driving,Seconds experiencing lateral acceleration greater than 0.2g or less than -0.2g excluding Autopilot driving,Aggressive turning percent (AggressiveTurningNumerator / AggressiveTurningDenominator),Count of Forward Collision Warnings on the trip excluding warnings occurring while driving on Autopilot,Count of Forced Autopilot Disengagements on the trip
2023-07-29 01:31:42.062,2023-07-29 03:06:50.602,92.7,68.16,306002,1789002,0.17,3000,525001,0.01,1000,137000,0.01,0,0
2023-07-29 04:27:37.833,2023-07-29 04:52:22.946,0.25,0.25,0,0,0,0,5000,0,0,0,0,0,0
2023-07-29 05:06:47.680,2023-07-29 05:14:44.190,2.7,2.7,9000,34000,0.26,0,65000,0,0,24000,0,0,0
2023-07-29 07:06:25.997,2023-07-29 07:39:39.774,0.88,0.88,0,0,0,0,32000,0,0,4000,0,0,0
2023-07-29 09:34:51.708,2023-07-29 09:59:46.216,2.5,2.5,0,0,0,0,58000,0,0,0,0,0,0
2023-07-29 10:44:46.107,2023-07-29 11:04:44.301,0.43,0.43,0,0,0,0,17000,0,0,0,0,0,0
2023-07-29 21:43:14.694,2023-07-29 22:35:04.784,3.59,3.59,0,0,0,8000,114000,0.07,0,8000,0,0,0
2023-07-31 19:23:41.120,2023-07-31 20:22:29.535,27.11,21.18,103000,540998,0.19,3000,248999,0.01,0,13000,0,0,0
2023-07-31 21:40:45.936,2023-07-31 21:48:01.355,1.14,1.14,0,0,0,0,33000,0,0,0,0,0,0
2023-07-31 22:43:47.965,2023-07-31 23:08:13.024,1.13,1.13,0,0,0,2000,32000,0.06,0,4000,0,0,0
2023-07-31 23:27:23.926,2023-08-01 00:08:26.167,3.53,3.53,0,0,0,0,70000,0,0,11000,0,0,0
2023-08-01 01:19:13.106,2023-08-01 01:29:32.375,1.65,1.65,0,0,0,0,42001,0,0,3000,0,0,0
2023-08-01 01:35:03.840,2023-08-01 03:12:49.971,95.32,31.77,58000,399000,0.15,2000,178004,0.01,0,160004,0,0,0
2023-08-01 03:17:32.071,2023-08-01 03:23:12.593,1.4,1.4,0,0,0,0,41000,0,0,5000,0,0,0
2023-08-01 03:30:51.456,2023-08-01 03:34:51.511,0.79,0.79,0,0,0,0,46998,0,0,3001,0,0,0
2023-08-01 03:43:29.529,2023-08-01 03:45:44.839,0.66,0.66,0,0,0,1000,21000,0.05,0,2000,0,0,0
2023-08-01 03:54:06.204,2023-08-01 03:58:56.061,1.39,1.39,0,0,0,0,43999,0,0,7000,0,0,0
2023-08-01 19:30:07.626,2023-08-01 19:52:03.258,9.67,9.67,0,0,0,3000,286000,0.01,0,123000,0,0,0
2023-08-01 20:25:44.867,2023-08-01 20:28:30.675,0.1,0.1,0,0,0,0,2000,0,0,0,0,0,0
2023-08-01 20:29:23.778,2023-08-01 20:33:45.384,0.29,0.29,0,0,0,0,7000,0,0,1000,0,0,0
2023-08-01 21:00:32.094,2023-08-01 21:03:31.743,0.39,0.39,0,0,0,0,19001,0,0,6000,0,0,0
2023-08-01 21:08:15.303,2023-08-01 21:29:37.803,9.01,9.01,0,0,0,2000,140001,0.01,1000,116000,0.01,0,0
2023-08-04 03:22:33.974,2023-08-04 03:27:12.183,1.38,1.38,0,0,0,3000,69000,0.04,0,18000,0,0,0
2023-08-04 03:48:17.488,2023-08-04 03:51:48.197,1.4,1.4,0,0,0,4000,34000,0.12,5000,37000,0.14,0,0
2023-08-04 20:08:43.590,2023-08-04 20:14:11.350,0.67,0.67,0,0,0,2000,39000,0.05,0,9000,0,0,0
2023-08-04 20:19:36.705,2023-08-04 20:26:16.623,0.68,0.68,0,0,0,0,36000,0,0,11000,0,0,0
2023-08-05 00:33:36.940,2023-08-05 01:32:21.453,36.65,26,198000,664000,0.3,1000,241998,0,0,83001,0,1,0
2023-08-05 02:48:49.596,2023-08-05 02:53:40.154,0.19,0.19,0,0,0,0,4000,0,0,0,0,0,0
2023-08-05 04:31:32.341,2023-08-05 05:02:31.586,21.05,14.81,75001,345001,0.22,1000,96000,0.01,0,13000,0,0,0
2023-08-05 05:45:15.784,2023-08-05 06:11:50.343,15.83,11,0,43000,0,1000,81001,0.01,6000,142002,0.04,0,0
2023-08-05 07:09:51.372,2023-08-05 07:18:58.105,2.56,2.56,0,0,0,1000,102000,0.01,0,25000,0,0,0
2023-08-05 07:22:34.925,2023-08-05 07:31:15.158,2.58,2.37,0,0,0,2000,55000,0.04,0,16000,0,0,0
2023-08-06 20:39:53.681,2023-08-06 21:04:56.541,12.57,7.09,0,0,0,0,176999,0,0,66000,0,0,0
2023-08-06 22:03:15.245,2023-08-06 22:22:06.147,0.3,0.3,0,0,0,0,10000,0,0,2000,0,0,0
2023-08-06 22:49:03.072,2023-08-06 23:22:56.910,4.8,4.8,0,0,0,0,166000,0,0,12000,0,0,0
2023-08-07 01:56:14.893,2023-08-07 02:26:23.128,15.13,12.41,0,0,0,4000,124000,0.03,1000,111999,0.01,0,0
2023-08-07 02:34:10.644,2023-08-07 02:38:32.047,0.68,0.68,0,0,0,0,40000,0,0,10000,0,0,0
2023-08-07 22:11:20.031,2023-08-07 22:26:26.016,5.79,5.79,0,0,0,6000,238003,0.03,0,92001,0,0,0
2023-08-07 22:27:04.061,2023-08-08 00:33:27.136,89.13,79,441001,1933002,0.23,35998,908002,0.04,16000,463002,0.03,0,0
2023-08-08 01:13:00.086,2023-08-08 01:19:08.255,0.72,0.72,0,0,0,0,42001,0,0,7000,0,0,0
2023-08-08 01:26:33.720,2023-08-08 01:55:53.532,18.49,18.49,214001,497001,0.43,1000,144000,0.01,1000,10000,0.1,0,0
2023-08-08 02:47:12.719,2023-08-08 02:50:16.274,0.24,0.24,0,0,0,0,7000,0,0,0,0,0,0
2023-08-08 03:20:38.843,2023-08-08 04:44:31.860,68.39,17.47,25000,184999,0.14,3000,73001,0.04,1000,176001,0.01,0,0
2023-08-09 19:12:05.238,2023-08-09 19:14:47.549,0.68,0.68,0,0,0,0,38001,0,0,11000,0,0,0
2023-08-09 19:17:42.953,2023-08-09 19:20:28.559,0.68,0.68,0,0,0,0,23000,0,0,13000,0,0,0
2023-08-11 00:46:39.341,2023-08-11 00:49:26.845,0.68,0.68,0,0,0,1000,34000,0.03,0,18000,0,0,0
2023-08-11 00:55:38.156,2023-08-11 00:59:04.763,0.68,0.68,0,0,0,0,32001,0,0,10000,0,0,0
2023-08-12 03:33:57.250,2023-08-12 04:11:22.810,28.49,21.97,102000,324000,0.31,7000,274002,0.03,2000,171001,0.01,0,0
2023-08-12 04:34:54.306,2023-08-12 04:49:59.282,0.54,0.54,0,0,0,0,30001,0,0,3000,0,0,0
2023-08-12 05:18:14.954,2023-08-12 05:38:34.407,9.35,6.57,60000,220998,0.27,2000,83001,0.02,0,13000,0,0,0
2023-08-12 05:49:53.429,2023-08-12 06:26:19.973,19.72,16.35,0,18000,0,3000,103001,0.03,1000,226003,0,0,0
2023-08-14 18:04:20.764,2023-08-14 18:50:25.547,31.97,15.65,38000,146000,0.26,14000,254003,0.06,7000,126001,0.06,0,0
2023-08-14 18:54:48.710,2023-08-14 19:27:35.887,12.76,10.52,45999,221001,0.21,14000,145002,0.1,0,19000,0,0,0
2023-08-14 19:56:52.653,2023-08-14 20:13:57.745,8.31,8.31,166000,322000,0.52,7000,134000,0.05,0,25000,0,0,0
2023-08-15 00:05:46.683,2023-08-15 00:17:28.014,0.97,0.97,0,0,0,2000,38001,0.05,0,9000,0,0,0
2023-08-15 02:05:35.862,2023-08-15 02:32:44.365,23.35,17.48,151000,447000,0.34,10000,162000,0.06,0,24000,0,0,0
2023-08-15 03:57:40.908,2023-08-15 04:25:19.226,15.83,12.55,8000,38000,0.21,5000,143998,0.03,4000,209003,0.02,0,0
2023-08-18 04:01:50.902,2023-08-18 04:06:19.360,0.68,0.68,0,0,0,0,45999,0,0,7000,0,0,0
2023-08-18 04:18:41.685,2023-08-18 04:24:51.554,0.69,0.69,0,0,0,0,23998,0,0,9000,0,0,0
2023-08-22 02:30:40.763,2023-08-22 02:34:55.064,1.4,1.4,0,0,0,0,53001,0,0,7999,0,0,0
